Classe/Sottoclasse,Ruolo principale,Punti di forza,Debolezze,Difficoltà,Sensibilità ping
Genesis (Elsword),DPS Melee,"Burst damage, mod retribution, holy lightning",Mod skills could be stronger,Media,Media
Lord Azoth (Aisha),DPS Mago Range,"Elemental DPS, multi-hit chains",Mana intensive,Bassa,Bassa
Anemos (Rena),DPS Clearing,"Fast clear, wave control",PvP situational,Media,Media-Alta
Furious Blade (Raven),DPS Melee,"Blade projectiles, versatile builds",Balance ongoing,Media,Media
Code: Antithese (Eve),DPS Mago Clear,"Perfect code efficiency, multi-target",High skill ceiling,Alta,Alta
Dius Aer (Chung),Support/Utility,"Party buffs, sustained support",Lower solo DPS,Alta,Bassa
Shakti (Ara),DPS Fisico,"Physical synergy, self-healing",Range limitations,Media,Media
Empire Sword (Elesis),DPS Melee,"Strong bossing, high damage",Positioning dependent,Media,Media
Mad Paradox (Add),DPS Supporto,"Paradox mechanics, utility",Niche synergies,Molto Alta,Alta
Innocent (Lu/Ciel),DPS Melee,Air combo specialist,Learning curve,Alta,Alta
Tempest Burster (Rose),DPS Range,"Range advantage, mobility",Positioning heavy,Media,Media
Opferung (Ain),DPS Support,Elemental conversion support,Niche role,Molto Alta,Alta
