Data,Regione,Focus Patch,Data KR (se applicabile)
2025-01-15,Global (NA/EU delayed),New Mod (E) skills for Elsword/Rena/Eve/Rose/Laby,2024-12-19
2025-02-05,Global,New Mod (E) skills for Raven/Ara/Elesis/Lu/Ciel/Lithia,2025-01-02
2025-02-19,Global,New Mod (E) skills for Aisha/Chung/Add/Ain/Noah,2025-01-16
2025-02-27,KR,Balance patch - Metamorphys nerf (Impact Zone limitation),N/A
2025-03-12,Global,"New Doom Aporia Raids: Cornerstone of Prophecy, Nightmare: Reset Room, Queen's Throne Hall",2025-02-06
2025-03-26,Global,New Doom Aporia Raid: Wilting Tower: Flight; Undead Dragon's Will weapon,2025-02-27
2025-07-17,KR,"Balance patch - Exascale armor improvements, Master Class portraits",N/A
2025-08-13,Global,"Balance patch - Daybreaker, Furious Blade, Doombringer, Catastrophe, Manurva skill renewals",2025-07-17
2025-09-10,Global,"Spirit Lord's Temple Giant Boss, Atma Accessory Fusion system",2025-08-14
2025-09-24,Global,"Harmony Festival 2025, balance updates",N/A
2025-10-23,KR,"Major balance patch - Code: Sariel casting speed +30%, range buff; Comet Crusader nerf (no use under attack); Rune Master buff; Furious Blade rework; Revenant range increase",N/A
2025-10-22,Global,"Halloween event, Atma'Ram Giant Boss improvements",N/A
